date,LFPR,LFPR scaled
2012.12,63.7,0
2013.01,63.7,0
2013.02,63.4,-0.083
2013.03,63.3,-0.111
2013.04,63.4,-0.083
2013.05,63.4,-0.083
2013.06,63.4,-0.083
2013.07,63.3,-0.111
2013.08,63.3,-0.111
2013.09,63.2,-0.139
2013.1,62.8,-0.25
2013.11,63,-0.194
2013.12,62.9,-0.222
2014.01,62.9,-0.222
2014.02,62.9,-0.222
2014.03,63.1,-0.167
2014.04,62.8,-0.25
2014.05,62.9,-0.222
2014.06,62.8,-0.25
2014.07,62.9,-0.222
2014.08,62.9,-0.222
2014.09,62.8,-0.25
2014.1,62.9,-0.222
2014.11,62.9,-0.222
2014.12,62.8,-0.25
2015.01,62.9,-0.222
2015.02,62.7,-0.278
2015.03,62.6,-0.306
2015.04,62.8,-0.25
2015.05,62.9,-0.222
2015.06,62.7,-0.278
2015.07,62.6,-0.306
2015.08,62.6,-0.306
2015.09,62.4,-0.361
2015.1,62.5,-0.333
2015.11,62.5,-0.333
2015.12,62.7,-0.278
2016.01,62.7,-0.278
2016.02,62.8,-0.25
2016.03,63,-0.194
2016.04,62.9,-0.222
2016.05,62.7,-0.278
2016.06,62.7,-0.278
2016.07,62.8,-0.25
2016.08,62.9,-0.222
2016.09,62.9,-0.222
2016.1,62.8,-0.25
2016.11,62.7,-0.278
2016.12,62.7,-0.278
2017.01,62.8,-0.25
2017.02,62.9,-0.222
2017.03,62.9,-0.222
2017.04,63,-0.194
2017.05,62.8,-0.25
2017.06,62.8,-0.25
2017.07,62.9,-0.222
2017.08,62.9,-0.222
2017.09,63.1,-0.167
2017.1,62.7,-0.278
2017.11,62.7,-0.278
2017.12,62.7,-0.278
2018.01,62.7,-0.278
2018.02,63,-0.194
2018.03,62.9,-0.222
2018.04,62.9,-0.222
2018.05,62.9,-0.222
2018.06,63,-0.194
2018.07,63,-0.194
2018.08,62.6,-0.306
2018.09,62.8,-0.25
2018.1,62.9,-0.222
2018.11,62.9,-0.222
2018.12,63,-0.194
2019.01,63.1,-0.167
2019.02,63.1,-0.167
2019.03,63,-0.194
2019.04,62.8,-0.25
2019.05,62.9,-0.222
2019.06,63,-0.194
2019.07,63.1,-0.167
2019.08,63.1,-0.167
2019.09,63.2,-0.139
2019.1,63.3,-0.111
2019.11,63.3,-0.111
2019.12,63.3,-0.111
2020.01,63.3,-0.111
2020.02,63.3,-0.111
2020.03,62.6,-0.306
2020.04,60.1,-1
2020.05,60.8,-0.806
2020.06,61.5,-0.611
2020.07,61.5,-0.611
2020.08,61.7,-0.556
2020.09,61.5,-0.611
2020.1,61.7,-0.556
2020.11,61.5,-0.611
2020.12,61.5,-0.611
2021.01,61.3,-0.667
2021.02,61.4,-0.639
2021.03,61.5,-0.611
2021.04,61.6,-0.583
2021.05,61.5,-0.611
2021.06,61.7,-0.556
2021.07,61.8,-0.528
2021.08,61.8,-0.528
2021.09,61.7,-0.556
2021.1,61.8,-0.528
2021.11,61.9,-0.5
2021.12,62,-0.472
2022.01,62.2,-0.417
2022.02,62.2,-0.417
2022.03,62.3,-0.389
2022.04,62.2,-0.417
2022.05,62.3,-0.389
2022.06,62.2,-0.417
2022.07,62.1,-0.444
2022.08,62.4,-0.361
2022.09,62.3,-0.389
2022.1,62.3,-0.389
2022.11,62.1,-0.444
2022.12,62.3,-0.389
2023.01,62.4,-0.361
2023.02,62.5,-0.333
2023.03,62.6,-0.306
2023.04,62.6,-0.306
2023.05,62.6,-0.306
2023.06,62.6,-0.306
2023.07,62.6,-0.306
2023.08,62.8,-0.25
2023.09,62.8,-0.25
2023.1,62.7,-0.278
2023.11,62.8,-0.25
2023.12,62.5,-0.333
