date,interest rates,interest rates-scaled
2003.11,1,-0.9
2003.12,0.98,-0.902
2004.01,1,-0.9
2004.02,1.01,-0.899
2004.03,1,-0.9
2004.04,1,-0.9
2004.05,1,-0.9
2004.06,1.03,-0.897
2004.07,1.26,-0.873
2004.08,1.43,-0.855
2004.09,1.61,-0.836
2004.1,1.76,-0.82
2004.11,1.93,-0.803
2004.12,2.16,-0.778
2005.01,2.28,-0.766
2005.02,2.5,-0.743
2005.03,2.63,-0.729
2005.04,2.79,-0.712
2005.05,3,-0.69
2005.06,3.04,-0.686
2005.07,3.26,-0.663
2005.08,3.5,-0.638
2005.09,3.62,-0.625
2005.1,3.78,-0.608
2005.11,4,-0.585
2005.12,4.16,-0.569
2006.01,4.29,-0.555
2006.02,4.49,-0.534
2006.03,4.59,-0.523
2006.04,4.79,-0.502
2006.05,4.94,-0.487
2006.06,4.99,-0.481
2006.07,5.24,-0.455
2006.08,5.25,-0.454
2006.09,5.25,-0.454
2006.1,5.25,-0.454
2006.11,5.25,-0.454
2006.12,5.24,-0.455
2007.01,5.25,-0.454
2007.02,5.26,-0.453
2007.03,5.26,-0.453
2007.04,5.25,-0.454
2007.05,5.25,-0.454
2007.06,5.25,-0.454
2007.07,5.26,-0.453
2007.08,5.02,-0.478
2007.09,4.94,-0.487
2007.1,4.76,-0.506
2007.11,4.49,-0.534
2007.12,4.24,-0.56
2008.01,3.94,-0.592
2008.02,2.98,-0.692
2008.03,2.61,-0.731
2008.04,2.28,-0.766
2008.05,1.98,-0.797
2008.06,2,-0.795
2008.07,2.01,-0.794
2008.08,2,-0.795
2008.09,1.81,-0.815
2008.1,0.97,-0.903
2008.11,0.39,-0.964
2008.12,0.16,-0.988
2009.01,0.15,-0.99
2009.02,0.22,-0.982
2009.03,0.18,-0.986
2009.04,0.15,-0.99
2009.05,0.18,-0.986
2009.06,0.21,-0.983
2009.07,0.16,-0.988
2009.08,0.16,-0.988
2009.09,0.15,-0.99
2009.1,0.12,-0.993
2009.11,0.12,-0.993
2009.12,0.12,-0.993
2010.01,0.11,-0.994
2010.02,0.13,-0.992
2010.03,0.16,-0.988
2010.04,0.2,-0.984
2010.05,0.2,-0.984
2010.06,0.18,-0.986
2010.07,0.18,-0.986
2010.08,0.19,-0.985
2010.09,0.19,-0.985
2010.1,0.19,-0.985
2010.11,0.19,-0.985
2010.12,0.18,-0.986
2011.01,0.17,-0.987
2011.02,0.16,-0.988
2011.03,0.14,-0.991
2011.04,0.1,-0.995
2011.05,0.09,-0.996
2011.06,0.09,-0.996
2011.07,0.07,-0.998
2011.08,0.1,-0.995
2011.09,0.08,-0.997
2011.1,0.07,-0.998
2011.11,0.08,-0.997
2011.12,0.07,-0.998
2012.01,0.08,-0.997
2012.02,0.1,-0.995
2012.03,0.13,-0.992
2012.04,0.14,-0.991
2012.05,0.16,-0.988
2012.06,0.16,-0.988
2012.07,0.16,-0.988
2012.08,0.13,-0.992
2012.09,0.14,-0.991
2012.1,0.16,-0.988
2012.11,0.16,-0.988
2012.12,0.16,-0.988
2013.01,0.14,-0.991
2013.02,0.15,-0.99
2013.03,0.14,-0.991
2013.04,0.15,-0.99
2013.05,0.11,-0.994
2013.06,0.09,-0.996
2013.07,0.09,-0.996
2013.08,0.08,-0.997
2013.09,0.08,-0.997
2013.1,0.09,-0.996
2013.11,0.08,-0.997
2013.12,0.09,-0.996
2014.01,0.07,-0.998
2014.02,0.07,-0.998
2014.03,0.08,-0.997
2014.04,0.09,-0.996
2014.05,0.09,-0.996
2014.06,0.1,-0.995
2014.07,0.09,-0.996
2014.08,0.09,-0.996
2014.09,0.09,-0.996
2014.1,0.09,-0.996
2014.11,0.09,-0.996
2014.12,0.12,-0.993
2015.01,0.11,-0.994
2015.02,0.11,-0.994
2015.03,0.11,-0.994
2015.04,0.12,-0.993
2015.05,0.12,-0.993
2015.06,0.13,-0.992
2015.07,0.13,-0.992
2015.08,0.14,-0.991
2015.09,0.14,-0.991
2015.1,0.12,-0.993
2015.11,0.12,-0.993
2015.12,0.24,-0.98
2016.01,0.34,-0.97
2016.02,0.38,-0.965
2016.03,0.36,-0.967
2016.04,0.37,-0.966
2016.05,0.37,-0.966
2016.06,0.38,-0.965
2016.07,0.39,-0.964
2016.08,0.4,-0.963
2016.09,0.4,-0.963
2016.1,0.4,-0.963
2016.11,0.41,-0.962
2016.12,0.54,-0.949
2017.01,0.65,-0.937
2017.02,0.66,-0.936
2017.03,0.79,-0.922
2017.04,0.9,-0.911
2017.05,0.91,-0.91
2017.06,1.04,-0.896
2017.07,1.15,-0.885
2017.08,1.16,-0.883
2017.09,1.15,-0.885
2017.1,1.15,-0.885
2017.11,1.16,-0.883
2017.12,1.3,-0.869
2018.01,1.41,-0.857
2018.02,1.42,-0.856
2018.03,1.51,-0.847
2018.04,1.69,-0.828
2018.05,1.7,-0.827
2018.06,1.82,-0.814
2018.07,1.91,-0.805
2018.08,1.91,-0.805
2018.09,1.95,-0.801
2018.1,2.19,-0.775
2018.11,2.2,-0.774
2018.12,2.27,-0.767
2019.01,2.4,-0.753
2019.02,2.4,-0.753
2019.03,2.41,-0.752
2019.04,2.42,-0.751
2019.05,2.39,-0.754
2019.06,2.38,-0.755
2019.07,2.4,-0.753
2019.08,2.13,-0.782
2019.09,2.04,-0.791
2019.1,1.83,-0.813
2019.11,1.55,-0.843
2019.12,1.55,-0.843
2020.01,1.55,-0.843
2020.02,1.58,-0.839
2020.03,0.65,-0.937
2020.04,0.05,-1
2020.05,0.05,-1
2020.06,0.08,-0.997
2020.07,0.09,-0.996
2020.08,0.1,-0.995
2020.09,0.09,-0.996
2020.1,0.09,-0.996
2020.11,0.09,-0.996
2020.12,0.09,-0.996
2021.01,0.09,-0.996
2021.02,0.08,-0.997
2021.03,0.07,-0.998
2021.04,0.07,-0.998
2021.05,0.06,-0.999
2021.06,0.08,-0.997
2021.07,0.1,-0.995
2021.08,0.09,-0.996
2021.09,0.08,-0.997
2021.1,0.08,-0.997
2021.11,0.08,-0.997
2021.12,0.08,-0.997
2022.01,0.08,-0.997
2022.02,0.08,-0.997
2022.03,0.2,-0.984
2022.04,0.33,-0.971
2022.05,0.77,-0.924
2022.06,1.21,-0.878
2022.07,1.68,-0.829
2022.08,2.33,-0.761
2022.09,2.56,-0.736
2022.1,3.08,-0.682
2022.11,3.78,-0.608
2022.12,4.1,-0.575
2023.01,4.33,-0.551
2023.02,4.57,-0.525
2023.03,4.65,-0.517
2023.04,4.83,-0.498
2023.05,5.06,-0.474
2023.06,5.08,-0.472
2023.07,5.12,-0.468
2023.08,5.33,-0.446
2023.09,5.33,-0.446
2023.1,5.33,-0.446
2023.11,5.33,-0.446
2023.12,5.33,-0.446
